# Val Ark - OS install media / router firmware / netboot catalog
# Freely-redistributable images for PXE / network commissioning of the mesh.
# Verified HTTP 200 (versions current as of 2026-06). The link-repair loop
# re-resolves "current"/"latest" dirs, so dated paths self-heal.
#
# Schema (pipe-delimited):  value|id|name|category|arch|url|bytes|sha_url|note
#   value     intrinsic importance 0-1000 (NOT size; planner derives value/byte)
#   category  diversity axis: netboot | os-install | router-firmware | jetson-bsp
#   arch      amd64|arm64|x86_64|aarch64|mipsel|mips  (free-form; informational)
#
950|netbootxyz-iso|netboot.xyz iPXE ISO|netboot|x86_64|https://github.com/netbootxyz/netboot.xyz/releases/download/3.0.2/netboot.xyz.iso|2424832|https://github.com/netbootxyz/netboot.xyz/releases/download/3.0.2/netboot.xyz-sha256-checksums.txt|Bootable iPXE menu; unlocks network install of everything
950|netbootxyz-efi|netboot.xyz iPXE EFI|netboot|x86_64|https://github.com/netbootxyz/netboot.xyz/releases/download/3.0.2/netboot.xyz.efi|1177088|https://github.com/netbootxyz/netboot.xyz/releases/download/3.0.2/netboot.xyz-sha256-checksums.txt|UEFI iPXE binary for PXE boot
940|netbootxyz-arm64-efi|netboot.xyz iPXE EFI arm64|netboot|arm64|https://github.com/netbootxyz/netboot.xyz/releases/download/3.0.2/netboot.xyz-arm64.efi|2752512|https://github.com/netbootxyz/netboot.xyz/releases/download/3.0.2/netboot.xyz-sha256-checksums.txt|aarch64 UEFI iPXE binary
900|alpine-virt-x86_64|Alpine Virt x86_64|os-install|x86_64|https://dl-cdn.alpinelinux.org/alpine/v3.23/releases/x86_64/alpine-virt-3.23.4-x86_64.iso|70254592|https://dl-cdn.alpinelinux.org/alpine/v3.23/releases/x86_64/alpine-virt-3.23.4-x86_64.iso.sha256|~70MB VM/mesh-node/PXE image, top value-per-byte
895|alpine-virt-aarch64|Alpine Virt aarch64|os-install|aarch64|https://dl-cdn.alpinelinux.org/alpine/v3.23/releases/aarch64/alpine-virt-3.23.4-aarch64.iso|93878272|https://dl-cdn.alpinelinux.org/alpine/v3.23/releases/aarch64/alpine-virt-3.23.4-aarch64.iso.sha256|~94MB aarch64 mesh-node/PXE image
820|alpine-standard-x86_64|Alpine Standard x86_64|os-install|x86_64|https://dl-cdn.alpinelinux.org/alpine/v3.23/releases/x86_64/alpine-standard-3.23.4-x86_64.iso|363855872|https://dl-cdn.alpinelinux.org/alpine/v3.23/releases/x86_64/alpine-standard-3.23.4-x86_64.iso.sha256|Small full-feature install ISO
815|alpine-standard-aarch64|Alpine Standard aarch64|os-install|aarch64|https://dl-cdn.alpinelinux.org/alpine/v3.23/releases/aarch64/alpine-standard-3.23.4-aarch64.iso|390694912|https://dl-cdn.alpinelinux.org/alpine/v3.23/releases/aarch64/alpine-standard-3.23.4-aarch64.iso.sha256|aarch64 full install
880|debian-13-netinst-amd64|Debian 13 netinst amd64|os-install|amd64|https://cdimage.debian.org/debian-cd/current/amd64/iso-cd/debian-13.5.0-amd64-netinst.iso|791674880|https://cdimage.debian.org/debian-cd/current/amd64/iso-cd/SHA256SUMS|Tiny netinst, ideal minimal/PXE base
875|debian-13-netinst-arm64|Debian 13 netinst arm64|os-install|arm64|https://cdimage.debian.org/debian-cd/current/arm64/iso-cd/debian-13.5.0-arm64-netinst.iso|735358976|https://cdimage.debian.org/debian-cd/current/arm64/iso-cd/SHA256SUMS|Tiny aarch64 netinst
870|ubuntu-server-2604-amd64|Ubuntu Server 26.04 LTS amd64|os-install|amd64|https://releases.ubuntu.com/26.04/ubuntu-26.04-live-server-amd64.iso|2918598656|https://releases.ubuntu.com/26.04/SHA256SUMS|Current LTS server, primary x86_64 fleet base
865|ubuntu-server-2604-arm64|Ubuntu Server 26.04 LTS arm64|os-install|arm64|https://cdimage.ubuntu.com/releases/26.04/release/ubuntu-26.04-live-server-arm64.iso|3068473344|https://cdimage.ubuntu.com/releases/26.04/release/SHA256SUMS|Current LTS server for aarch64 hosts
700|ubuntu-server-2404-amd64|Ubuntu Server 24.04 LTS amd64|os-install|amd64|https://releases.ubuntu.com/24.04/ubuntu-24.04.4-live-server-amd64.iso|3405469696|https://releases.ubuntu.com/24.04/SHA256SUMS|Prior LTS, broad hardware compatibility
695|ubuntu-server-2404-arm64|Ubuntu Server 24.04 LTS arm64|os-install|arm64|https://cdimage.ubuntu.com/releases/24.04/release/ubuntu-24.04.4-live-server-arm64.iso|3059724288|https://cdimage.ubuntu.com/releases/24.04/release/SHA256SUMS|Prior LTS aarch64, well-tested on Jetson Orin
680|ubuntu-desktop-2604-amd64|Ubuntu Desktop 26.04 LTS amd64|os-install|amd64|https://releases.ubuntu.com/26.04/ubuntu-26.04-desktop-amd64.iso|6518974464|https://releases.ubuntu.com/26.04/SHA256SUMS|Current LTS desktop, GUI workstation provisioning
640|fedora-srv-44-x86_64|Fedora Server 44 x86_64|os-install|x86_64|https://download.fedoraproject.org/pub/fedora/linux/releases/44/Server/x86_64/iso/Fedora-Server-dvd-x86_64-44-1.7.iso|3913023488|https://download.fedoraproject.org/pub/fedora/linux/releases/44/Server/x86_64/iso/Fedora-Server-44-1.7-x86_64-CHECKSUM|RHEL-family server lineage
635|fedora-srv-44-aarch64|Fedora Server 44 aarch64|os-install|aarch64|https://download.fedoraproject.org/pub/fedora/linux/releases/44/Server/aarch64/iso/Fedora-Server-dvd-aarch64-44-1.7.iso|3662544896|https://download.fedoraproject.org/pub/fedora/linux/releases/44/Server/aarch64/iso/Fedora-Server-44-1.7-aarch64-CHECKSUM|aarch64 server
620|fedora-ws-44-x86_64|Fedora Workstation 44 x86_64|os-install|x86_64|https://download.fedoraproject.org/pub/fedora/linux/releases/44/Workstation/x86_64/iso/Fedora-Workstation-Live-44-1.7.x86_64.iso|2851612672|https://download.fedoraproject.org/pub/fedora/linux/releases/44/Workstation/x86_64/iso/Fedora-Workstation-44-1.7-x86_64-CHECKSUM|Bleeding-edge workstation
600|arch-x86_64|Arch Linux x86_64|os-install|x86_64|https://geo.mirror.pkgbuild.com/iso/latest/archlinux-2026.06.01-x86_64.iso|1566638080|https://geo.mirror.pkgbuild.com/iso/latest/sha256sums.txt|Rolling-release live/installer ISO
720|raspios-arm64|Raspberry Pi OS arm64|os-install|arm64|https://downloads.raspberrypi.com/raspios_arm64/images/raspios_arm64-2026-04-21/2026-04-21-raspios-trixie-arm64.img.xz|1347897208|https://downloads.raspberrypi.com/raspios_arm64/images/raspios_arm64-2026-04-21/2026-04-21-raspios-trixie-arm64.img.xz.sha256|Official RPi SD image
710|ubuntu-rpi-server-2604|Ubuntu 26.04 RPi server|os-install|arm64|https://cdimage.ubuntu.com/releases/26.04/release/ubuntu-26.04-preinstalled-server-arm64+raspi.img.xz|1509023176|https://cdimage.ubuntu.com/releases/26.04/release/SHA256SUMS|Preinstalled RPi server, current LTS
860|owrt-x86-64-efi|OpenWRT x86/64 ext4 EFI|router-firmware|x86_64|https://downloads.openwrt.org/releases/25.12.4/targets/x86/64/openwrt-25.12.4-x86-64-generic-ext4-combined-efi.img.gz|13805470|https://downloads.openwrt.org/releases/25.12.4/targets/x86/64/sha256sums|x86 UEFI router/firewall image
855|owrt-x86-64-squashfs-efi|OpenWRT x86/64 squashfs EFI|router-firmware|x86_64|https://downloads.openwrt.org/releases/25.12.4/targets/x86/64/openwrt-25.12.4-x86-64-generic-squashfs-combined-efi.img.gz|12487189|https://downloads.openwrt.org/releases/25.12.4/targets/x86/64/sha256sums|x86 UEFI squashfs (failsafe-friendly)
850|owrt-bcm2711-rpi4|OpenWRT bcm27xx RPi4|router-firmware|arm64|https://downloads.openwrt.org/releases/25.12.4/targets/bcm27xx/bcm2711/openwrt-25.12.4-bcm27xx-bcm2711-rpi-4-squashfs-factory.img.gz|15456273|https://downloads.openwrt.org/releases/25.12.4/targets/bcm27xx/bcm2711/sha256sums|RPi 4/400 as OpenWRT router/AP
845|owrt-filogic-mt6000|OpenWRT filogic GL-MT6000|router-firmware|aarch64|https://downloads.openwrt.org/releases/25.12.4/targets/mediatek/filogic/openwrt-25.12.4-mediatek-filogic-glinet_gl-mt6000-squashfs-sysupgrade.bin|10629440|https://downloads.openwrt.org/releases/25.12.4/targets/mediatek/filogic/sha256sums|Popular WiFi6 filogic router
840|owrt-mt7621-ac2100|OpenWRT ramips/mt7621 Redmi AC2100|router-firmware|mipsel|https://downloads.openwrt.org/releases/25.12.4/targets/ramips/mt7621/openwrt-25.12.4-ramips-mt7621-xiaomi_redmi-router-ac2100-squashfs-sysupgrade.bin|8233543|https://downloads.openwrt.org/releases/25.12.4/targets/ramips/mt7621/sha256sums|Very common mt7621 router
835|owrt-ath79-archer-c7|OpenWRT ath79 Archer C7 v5|router-firmware|mips|https://downloads.openwrt.org/releases/25.12.4/targets/ath79/generic/openwrt-25.12.4-ath79-generic-tplink_archer-c7-v5-squashfs-sysupgrade.bin|7471398|https://downloads.openwrt.org/releases/25.12.4/targets/ath79/generic/sha256sums|Classic ath79 router
780|nvidia-l4t-bsp-r3640|NVIDIA L4T BSP r36.4.0|jetson-bsp|aarch64|https://developer.download.nvidia.com/embedded/L4T/r36_Release_v4.0/release/Jetson_Linux_R36.4.0_aarch64.tbz2|709402449|-|OPEN no-auth JetPack6 BSP for Orin; flash via flash.sh
770|nvidia-l4t-rootfs-r3640|NVIDIA L4T Sample RootFS r36.4.0|jetson-bsp|aarch64|https://developer.download.nvidia.com/embedded/L4T/r36_Release_v4.0/release/Tegra_Linux_Sample-Root-Filesystem_R36.4.0_aarch64.tbz2|1788463211|-|OPEN no-auth Ubuntu-based sample rootfs
600|nvidia-l4t-sources-r3640|NVIDIA L4T public_sources r36.4.0|jetson-bsp|aarch64|https://developer.download.nvidia.com/embedded/L4T/r36_Release_v4.0/sources/public_sources.tbz2|225930643|-|OPEN no-auth kernel/bootloader source
